fecha,hora,dbm,acimut,lat,long
2025-09-01,12:47:30,-105.7,176.0,39.581431,2.648364
2025-09-01,12:47:34,-106.9,176.4,39.581422,2.648328
2025-09-01,12:47:38,-111.5,171.5,39.581422,2.648317
2025-09-01,12:47:42,-109.0,156.3,39.581411,2.648308
2025-09-01,12:47:46,-114.7,223.7,39.5814,2.648286
2025-09-01,12:47:50,-110.2,204.9,39.581339,2.648278
2025-09-01,12:47:53,-113.6,215.9,39.581269,2.648286
2025-09-01,12:47:57,-117.3,217.6,39.581206,2.648281
2025-09-01,12:48:01,-117.1,226.3,39.581175,2.648272
2025-09-01,12:48:05,-120.0,150.3,39.581128,2.648258
2025-09-01,12:48:09,-115.4,174.1,39.581031,2.648258
2025-09-01,12:48:13,-113.2,262.6,39.581,2.648264
2025-09-01,12:48:17,-107.7,303.4,39.580986,2.648261
2025-09-01,12:48:21,-99.0,248.2,39.580956,2.648267
2025-09-01,12:48:25,-114.5,171.8,39.580903,2.648278
2025-09-01,12:48:29,-107.0,156.6,39.580842,2.648294
2025-09-01,12:48:33,-108.4,192.3,39.5808,2.6483
2025-09-01,12:48:37,-110.9,163.3,39.580761,2.648306
2025-09-01,12:48:41,-118.4,128.8,39.580736,2.648303
2025-09-01,12:48:45,-117.3,56.5,39.580744,2.648375
2025-09-01,12:48:49,-117.0,92.1,39.580767,2.648442
2025-09-01,12:48:53,-114.0,87.2,39.580806,2.648517
2025-09-01,12:48:57,-114.7,109.3,39.580819,2.648567
2025-09-01,12:49:01,-112.4,118.9,39.580808,2.648569
